epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,645.254,0.53622,0.42703,0.8018,0.98344,0.98258,0.99381,0.84213,0.64279,0.44738,0.83145,0.000155761,0.000155761,0.000155761
92,652.66,0.55593,0.42332,0.80971,0.97131,0.99078,0.99381,0.84794,0.63121,0.44728,0.82727,0.000141614,0.000141614,0.000141614
93,659.994,0.54755,0.43104,0.80868,0.97157,0.99084,0.99381,0.85442,0.62781,0.44921,0.82513,0.000127467,0.000127467,0.000127467
94,667.432,0.5495,0.42859,0.80347,0.97158,0.99086,0.99381,0.85367,0.62808,0.44947,0.82411,0.00011332,0.00011332,0.00011332
95,674.465,0.53531,0.41758,0.8057,0.97182,0.9908,0.99381,0.84964,0.6275,0.44791,0.82397,9.91726e-05,9.91726e-05,9.91726e-05
96,681.58,0.50684,0.41337,0.80881,0.99237,0.97561,0.99398,0.85159,0.63067,0.44324,0.82543,8.50255e-05,8.50255e-05,8.50255e-05
97,688.722,0.51385,0.42104,0.80273,0.9912,0.97561,0.99398,0.84953,0.63188,0.44281,0.82632,7.08784e-05,7.08784e-05,7.08784e-05
98,695.615,0.50341,0.4124,0.81027,0.99059,0.97561,0.99398,0.85409,0.63095,0.44138,0.82665,5.67313e-05,5.67313e-05,5.67313e-05
99,703.012,0.50148,0.40289,0.79823,0.99122,0.97561,0.99398,0.85522,0.62972,0.43926,0.82693,4.25842e-05,4.25842e-05,4.25842e-05
100,709.942,0.4931,0.40483,0.80573,0.99153,0.97561,0.99398,0.85177,0.62763,0.43442,0.82649,2.84371e-05,2.84371e-05,2.84371e-05
